"Tweet author","Tweet ID","Date posted","Tweet text",URL,Retweets,Favorited,Source
CaboDaciolo,"ID 1175804823876395010","Sun Sep 22 16:11:30 +0000 2019","SEGUNDA-FEIRA, DIA 23 /09 - 19h
LOCAL - ITAÚNA SHOPPING 
AV. DAS AMÉRICAS, 11391
BARRA DA TIJUCA
Venham a mim , todos os que estão cansados e sobrecarregado, e eu lhes darei descanso.
Mateus 11.28
Glória a Deus!
Amooooooo vocês ! https://t.co/wMdkmctubk",https://twitter.com/CaboDaciolo/statuses/1175804823876395010,67,946,"Twitter for iPhone"
CaboDaciolo,"ID 1162396534765490182","Fri Aug 16 16:11:44 +0000 2019","CRICA
Minha parceira 
E assim se cumpriu o que fora dito pelo profeta Isaías: ""Ele tomou sobre si as nossas enfermidades e sobre si levou as nossas doenças"". https://t.co/INKoyCJQlO",https://twitter.com/CaboDaciolo/statuses/1162396534765490182,12,470,"Twitter for iPhone"
CaboDaciolo,"ID 1111220380893630464","Thu Mar 28 10:55:58 +0000 2019","Jovens adorando ao Sr Jesus em uma via pública em plena luz do dia.
Como não parar???
GLÓRIA A DEUS https://t.co/SIOTBrdw1B",https://twitter.com/CaboDaciolo/statuses/1111220380893630464,441,4335,"Twitter for iPhone"
CaboDaciolo,"ID 1110690857676468224","Tue Mar 26 23:51:50 +0000 2019","""Um novo mandamento lhes dou: Amem-se uns aos outros. Como eu os amei, vocês devem amar-se uns aos outros.
João 13:34
Glória a Deus https://t.co/hfVunMsOFj",https://twitter.com/CaboDaciolo/statuses/1110690857676468224,121,1695,Instagram
CaboDaciolo,"ID 1108891393995493376","Fri Mar 22 00:41:25 +0000 2019","@flemos Glória a Deus 🙏",https://twitter.com/CaboDaciolo/statuses/1108891393995493376,31,359,"Twitter for iPhone"
CaboDaciolo,"ID 1098601151971377158","Thu Feb 21 15:11:40 +0000 2019","Assista ao vídeo e saiba a VERDADE
Querem escravizar ainda mais o povo
https://t.co/K1Hrt9sqLf https://t.co/LnxtitxEJr",https://twitter.com/CaboDaciolo/statuses/1098601151971377158,301,1563,"Twitter for iPhone"
CaboDaciolo,"ID 1086311659759697925","Fri Jan 18 17:17:37 +0000 2019","Glória a Deus
Saudade
Amo vcs https://t.co/x2XTzSZohG",https://twitter.com/CaboDaciolo/statuses/1086311659759697925,3941,21510,"Twitter for iPhone"
CaboDaciolo,"ID 1078348024437460993","Thu Dec 27 17:52:58 +0000 2018","@MENINAD91876306 Então prepare-se🙌Deus abençoe 🙏",https://twitter.com/CaboDaciolo/statuses/1078348024437460993,2,5,"Twitter for iPhone"
CaboDaciolo,"ID 1074153357319856128","Sun Dec 16 04:04:51 +0000 2018","Glorificando a Deus com ⁦@murilocouto⁩ https://t.co/6rH0gW1Xx2",https://twitter.com/CaboDaciolo/statuses/1074153357319856128,526,5695,"Twitter for iPhone"
CaboDaciolo,"ID 1070459693359861762","Wed Dec 05 23:27:33 +0000 2018","Hoje participei Audiência Pública com universitários de varios estados do Brasil.
O carinho me faz prosseguir . https://t.co/yTpKi5WIfw",https://twitter.com/CaboDaciolo/statuses/1070459693359861762,123,2937,"Twitter for iPhone"
CaboDaciolo,"ID 1067338041239527424","Tue Nov 27 08:43:13 +0000 2018","AMOR, ordem e progresso  https://t.co/7thz6BDTZU https://t.co/5b05nilcS7",https://twitter.com/CaboDaciolo/statuses/1067338041239527424,216,1701,"Twitter for iPhone"
CaboDaciolo,"ID 1066373251541188608","Sat Nov 24 16:49:30 +0000 2018","Olaria Atlético Clube#assistindo jogo do meu filho.                              E isso tudo é apenas
a borda de suas obras!
Um suave sussurro
é o que ouvimos dele.
Mas quem poderá compreender
o trovão do seu poder?"" 
Jó 26:14        Glória a DEUS https://t.co/7Hpfjad3bI",https://twitter.com/CaboDaciolo/statuses/1066373251541188608,737,6444,"Twitter for iPhone"
CaboDaciolo,"ID 1065778279716700160","Fri Nov 23 01:25:17 +0000 2018","Voltando para casa com AMOR ❤️Glória a DEUS https://t.co/J62TKrhOZR",https://twitter.com/CaboDaciolo/statuses/1065778279716700160,762,10110,"Twitter for iPhone"
CaboDaciolo,"ID 1064089355436900352","Sun Nov 18 09:34:06 +0000 2018","@juliocsb_ Deus te abençoe",https://twitter.com/CaboDaciolo/statuses/1064089355436900352,2,5,"Twitter for iPhone"
CaboDaciolo,"ID 1061816017716940800","Mon Nov 12 03:00:40 +0000 2018","O AMOR transcende todo entendimento. https://t.co/j5L9Fko8if",https://twitter.com/CaboDaciolo/statuses/1061816017716940800,2203,17139,"Twitter for iPhone"
CaboDaciolo,"ID 1060668205352579073","Thu Nov 08 22:59:41 +0000 2018","🎼No final de tudo eu vou poder dizer
que lutei o combate, acabei a carreira, guardei a fé
hei de terminar minha batalha em pé
um dia desses que eu não sei ao certo qual é
isso acontecerá, enquanto isso não deixarei de acreditar...
@PREGADORLUO https://t.co/Ue4VlwA1wt",https://twitter.com/CaboDaciolo/statuses/1060668205352579073,162,2205,"Twitter for iPhone"
CaboDaciolo,"ID 1059037809028284416","Sun Nov 04 11:01:04 +0000 2018","@TononThales Deus te abençoe",https://twitter.com/CaboDaciolo/statuses/1059037809028284416,213,3232,"Twitter for iPhone"
CaboDaciolo,"ID 1058342284679364608","Fri Nov 02 12:57:18 +0000 2018","Pique-esconde com a Crica❤️ https://t.co/RffG1eZb2V",https://twitter.com/CaboDaciolo/statuses/1058342284679364608,3888,21719,"Twitter for iPhone"
CaboDaciolo,"ID 1057653012234207233","Wed Oct 31 15:18:23 +0000 2018","@andre_parteka Glória a Deus parabéns amigo",https://twitter.com/CaboDaciolo/statuses/1057653012234207233,5,19,"Twitter for iPhone"
CaboDaciolo,"ID 1057643168630497280","Wed Oct 31 14:39:16 +0000 2018","@whindersson A ideia é abençoada 🙏Bj meu irmão",https://twitter.com/CaboDaciolo/statuses/1057643168630497280,245,4466,"Twitter for iPhone"
CaboDaciolo,"ID 1057628112630894594","Wed Oct 31 13:39:26 +0000 2018","Glória a Deus @whindersson obrigado pelo carinho https://t.co/XBimJilzHW",https://twitter.com/CaboDaciolo/statuses/1057628112630894594,3272,29224,"Twitter for iPhone"
CaboDaciolo,"ID 1057287818773491715","Tue Oct 30 15:07:14 +0000 2018","Entrevista com Cabo Daciolo | The noite (29/10/18) https://t.co/p0piM6Vb54 via @YouTube",https://twitter.com/CaboDaciolo/statuses/1057287818773491715,114,1025,"Twitter for iPhone"
CaboDaciolo,"ID 1057011322343301121","Mon Oct 29 20:48:32 +0000 2018","THE NOITE COM DANILO GENTILE 
HOJE  24h                                             @DaniloGentili @LeoLins @murilocouto @TheNoiteOficial https://t.co/HqHcGbIHss",https://twitter.com/CaboDaciolo/statuses/1057011322343301121,1451,13154,"Twitter for iPhone"
CaboDaciolo,"ID 1056916279750209536","Mon Oct 29 14:30:52 +0000 2018","NULOS, BRANCOS E ABSTENÇÕES
Faço parte do total de 42,1 milhões (votos nulos e brancos com as abstenções) de eleitores que não escolheram nem Bolsonaro, nem Haddad.
COM TEMOR E TREMOR, oramos pela NAÇÃO BRASILEIRA, acreditando que DEUS protegerá os seus de todo mal
Glória a Deus https://t.co/pxqLIm4Wyk",https://twitter.com/CaboDaciolo/statuses/1056916279750209536,1365,10554,"Twitter for iPhone"
CaboDaciolo,"ID 1056291241384644609","Sat Oct 27 21:07:11 +0000 2018","NAÇÃO BRASILEIRA.                         Conheço as suas obras, sei que você não é frio nem quente. Melhor seria que fosse frio ou quente! Assim, porque você é morno, não é frio nem… https://t.co/4fONrjpi4u",https://twitter.com/CaboDaciolo/statuses/1056291241384644609,55,836,Instagram
CaboDaciolo,"ID 1056084752371933184","Sat Oct 27 07:26:40 +0000 2018","Seguirei o caminho da integridade;
quando virás ao meu encontro?
Em minha casa viverei de coração íntegro. 
Salmos 101:2 em Ciudad vieja de Jerusalén https://t.co/2GScum3nct",https://twitter.com/CaboDaciolo/statuses/1056084752371933184,59,1086,Instagram
CaboDaciolo,"ID 1053461920639057920","Sat Oct 20 01:44:28 +0000 2018",https://t.co/BvTWDIZdiO,https://twitter.com/CaboDaciolo/statuses/1053461920639057920,883,6066,"Twitter for iPhone"
CaboDaciolo,"ID 1053461098169622529","Sat Oct 20 01:41:12 +0000 2018","Voto em cédulas JÁ!
Glória a Deus https://t.co/kG0X7YliKB",https://twitter.com/CaboDaciolo/statuses/1053461098169622529,104,862,Instagram
CaboDaciolo,"ID 1053071583286386689","Thu Oct 18 23:53:25 +0000 2018","@isamovitz Deus abençoe",https://twitter.com/CaboDaciolo/statuses/1053071583286386689,0,12,"Twitter for iPhone"
CaboDaciolo,"ID 1052725022135971840","Thu Oct 18 00:56:18 +0000 2018","Eu posso ser crente menino, mas não adultero.
Eu posso ser crente menino , mas eu não me vendo. https://t.co/GwYTxXhMxW",https://twitter.com/CaboDaciolo/statuses/1052725022135971840,570,4257,"Twitter for iPhone"
CaboDaciolo,"ID 1051297553705254912","Sun Oct 14 02:24:03 +0000 2018","@andersonfelix94 Deus te abençoe 🙏",https://twitter.com/CaboDaciolo/statuses/1051297553705254912,3,171,"Twitter for iPhone"
CaboDaciolo,"ID 1051252139236962304","Sat Oct 13 23:23:35 +0000 2018","@higxrr @YouTube Deus abençoe sr José Glória a Deus",https://twitter.com/CaboDaciolo/statuses/1051252139236962304,2,52,"Twitter for iPhone"
CaboDaciolo,"ID 1051247214419423235","Sat Oct 13 23:04:01 +0000 2018","@avrc41 @Jotapecrf_99 Deus te abençoe meu amigo",https://twitter.com/CaboDaciolo/statuses/1051247214419423235,1,273,"Twitter for iPhone"
CaboDaciolo,"ID 1051242566115610631","Sat Oct 13 22:45:33 +0000 2018","Decifrando Códigos: Estátua da Liberdade (History Channel) https://t.co/2xYJFFQ2Fi via @YouTube",https://twitter.com/CaboDaciolo/statuses/1051242566115610631,81,465,"Twitter for iPhone"
CaboDaciolo,"ID 1051236173887221760","Sat Oct 13 22:20:09 +0000 2018","“Só vim aqui mostrar pra nação que nem corda, nem corrente, muito menos cabo me tiram daqui!”
Havan
""Não se deixem enganar: de Deus não se zomba. Pois o que o homem semear isso também colherá.""
Gálatas6:7 
Não duvidem do poder de DEUS https://t.co/YnF34tGfMk",https://twitter.com/CaboDaciolo/statuses/1051236173887221760,3993,14990,"Twitter for iPhone"
CaboDaciolo,"ID 1050258435940470784","Thu Oct 11 05:34:58 +0000 2018","Glória a Deus.                           Aquele encontro explosivo está chegando @DaniloGentili @LeoLins @murilocouto https://t.co/K5lj8wKOb8",https://twitter.com/CaboDaciolo/statuses/1050258435940470784,861,9743,"Twitter for iPhone"
CaboDaciolo,"ID 1050158482660442117","Wed Oct 10 22:57:47 +0000 2018","""Há a lei das eleições, que é a 9.504/97,que coloca uma coisa muito clara: quando tem fragilidade nas urnas eletrônicas, quando é comprovado que existe fraude, a insegurança jurídica, é necessário que o TSE, em caso excepcional, faça a votação em cédulas. Apresentamos provas."" https://t.co/UOfIiPO8O0",https://twitter.com/CaboDaciolo/statuses/1050158482660442117,4508,17969,"Twitter for iPhone"
CaboDaciolo,"ID 1049398930956537856","Mon Oct 08 20:39:36 +0000 2018","TRANSMISSÃO AO VIVO (FACEBOOK)

HOJE, SEGUNDA-FEIRA, ÀS 18H!

BRASIL: OBRIGADO PELOS 1.348.317 VOTOS https://t.co/YZtMnBd3Hj",https://twitter.com/CaboDaciolo/statuses/1049398930956537856,285,3786,"Twitter for iPhone"
CaboDaciolo,"ID 1049329456874184705","Mon Oct 08 16:03:32 +0000 2018","Meu dia seguinte❤️Glória a Deus https://t.co/VnAQRMlZEf",https://twitter.com/CaboDaciolo/statuses/1049329456874184705,5401,33689,"Twitter for iPhone"
CaboDaciolo,"ID 1048738010098028549","Sun Oct 07 00:53:20 +0000 2018",https://t.co/lIkxBtvCrF,https://twitter.com/CaboDaciolo/statuses/1048738010098028549,188,1757,"Twitter for iPhone"
CaboDaciolo,"ID 1048737491359076352","Sun Oct 07 00:51:17 +0000 2018","Amo todos vocês.                  “Desde o início faço conhecido o fim,
desde tempos remotos,
o que ainda virá.
Digo: Meu propósito permanecerá em pé,
e farei tudo o que me agrada“.… https://t.co/SdEj0MmOut",https://twitter.com/CaboDaciolo/statuses/1048737491359076352,136,2279,Instagram
CaboDaciolo,"ID 1048703277808930816","Sat Oct 06 22:35:20 +0000 2018","TRANSMISSÃO AO VIVO (FACEBOOK) 

HOJE, SÁBADO!

NOVO HORÁRIO: ÀS 21H

JUNTOS SOMOS FORTES 
NEM UM PASSO DAREMOS ATRÁS 
DEUS ESTÁ NO CONTROLE https://t.co/ePeeB9re6K",https://twitter.com/CaboDaciolo/statuses/1048703277808930816,115,961,"Twitter for iPhone"
CaboDaciolo,"ID 1048695726509838336","Sat Oct 06 22:05:19 +0000 2018","@heavypotter @clauclaurainha Deus abençoe vcs grande abç",https://twitter.com/CaboDaciolo/statuses/1048695726509838336,0,19,"Twitter for iPhone"
CaboDaciolo,"ID 1048694932389683205","Sat Oct 06 22:02:10 +0000 2018","@Sra_Amell Deus abençoe",https://twitter.com/CaboDaciolo/statuses/1048694932389683205,1,14,"Twitter for iPhone"
CaboDaciolo,"ID 1048677470864650242","Sat Oct 06 20:52:47 +0000 2018","@AndreaaJamile Janaína Deus te abençoe",https://twitter.com/CaboDaciolo/statuses/1048677470864650242,1,33,"Twitter for iPhone"
CaboDaciolo,"ID 1048677194044727297","Sat Oct 06 20:51:41 +0000 2018","@GersonDCastro81 Deus abençoe",https://twitter.com/CaboDaciolo/statuses/1048677194044727297,1,30,"Twitter for iPhone"
CaboDaciolo,"ID 1048676717420863489","Sat Oct 06 20:49:47 +0000 2018","@markribis Cabo Daciolo51 Deus te abençoe",https://twitter.com/CaboDaciolo/statuses/1048676717420863489,7,192,"Twitter for iPhone"
CaboDaciolo,"ID 1048675463198138369","Sat Oct 06 20:44:48 +0000 2018","@nivolyy Carla Deus te abençoe.",https://twitter.com/CaboDaciolo/statuses/1048675463198138369,108,480,"Twitter for iPhone"
CaboDaciolo,"ID 1048634678582923264","Sat Oct 06 18:02:44 +0000 2018","@MarcoDs32 51 Deus abençoe",https://twitter.com/CaboDaciolo/statuses/1048634678582923264,1,54,"Twitter for iPhone"
CaboDaciolo,"ID 1048627825761247233","Sat Oct 06 17:35:30 +0000 2018","@nairax_ Deus abençoe 51",https://twitter.com/CaboDaciolo/statuses/1048627825761247233,5,129,"Twitter for iPhone"
CaboDaciolo,"ID 1048627338760609798","Sat Oct 06 17:33:34 +0000 2018","@gabrielaschuIz Deus abençoe Gabi 51",https://twitter.com/CaboDaciolo/statuses/1048627338760609798,1,4,"Twitter for iPhone"
CaboDaciolo,"ID 1048599258889441281","Sat Oct 06 15:42:00 +0000 2018","@castilhojac Um beijo e Deus abençoe ❤️",https://twitter.com/CaboDaciolo/statuses/1048599258889441281,22,543,"Twitter for iPhone"
CaboDaciolo,"ID 1048598643064934400","Sat Oct 06 15:39:33 +0000 2018","@Xnthunder @BrunnoHGOficial @hiperavictor @luizahidalgo_ FAKE News amiga",https://twitter.com/CaboDaciolo/statuses/1048598643064934400,50,630,"Twitter for iPhone"
CaboDaciolo,"ID 1048597841487249409","Sat Oct 06 15:36:22 +0000 2018","@Dinelli_23 51",https://twitter.com/CaboDaciolo/statuses/1048597841487249409,18,617,"Twitter for iPhone"
CaboDaciolo,"ID 1048542769193672704","Sat Oct 06 11:57:31 +0000 2018","CABO DACIOLO 51 https://t.co/8VQCK2j5tE",https://twitter.com/CaboDaciolo/statuses/1048542769193672704,31417,68051,"Twitter for iPhone"
CaboDaciolo,"ID 1048356118274162689","Fri Oct 05 23:35:50 +0000 2018","CABO DACIOLO51 COM GABEIRA 23h 23h 23h@fernandogabeira",https://twitter.com/CaboDaciolo/statuses/1048356118274162689,129,1383,"Twitter for iPhone"
CaboDaciolo,"ID 1048347568625922049","Fri Oct 05 23:01:52 +0000 2018","Glória a Deus.                                         Hoje Cabo Daciolo51 com Gabeira 23:30h ⁦@gabeiracombr⁩ ⁦@GloboNews⁩ https://t.co/4vLa9qyFJu",https://twitter.com/CaboDaciolo/statuses/1048347568625922049,179,1172,"Twitter for iPhone"
CaboDaciolo,"ID 1048066064033206272","Fri Oct 05 04:23:16 +0000 2018","RT @Miltonneves: Esse debate sem Bolsonaro e Daciolo é mais ou menos como assistir Suiça x Arábia Saudita na Copa do Mundo",https://twitter.com/CaboDaciolo/statuses/1048066064033206272,4774,0,"Twitter for iPhone"
CaboDaciolo,"ID 1048065625636200449","Fri Oct 05 04:21:31 +0000 2018","@_extra_extra Berenice❤️ 51 https://t.co/rPItliHA3p",https://twitter.com/CaboDaciolo/statuses/1048065625636200449,0,11,"Twitter for iPhone"
CaboDaciolo,"ID 1048021554733441029","Fri Oct 05 01:26:24 +0000 2018","#DacioloNaGlobo 
CABO DACIOLO 51 https://t.co/QfSVGGK8P4",https://twitter.com/CaboDaciolo/statuses/1048021554733441029,262,1839,"Twitter for iPhone"
CaboDaciolo,"ID 1047987360158437376","Thu Oct 04 23:10:31 +0000 2018","Estamos ao vivo                      https://t.co/Av4OEf5jJq",https://twitter.com/CaboDaciolo/statuses/1047987360158437376,93,661,"Twitter for iPhone"
CaboDaciolo,"ID 1047911180336082944","Thu Oct 04 18:07:49 +0000 2018","DEBATE - GLOBO 
O nosso partido recorreu junto ao TSE contra o boicote da Globo, que não nos convidou para o debate de hoje. O propósito está nas mãos de DEUS.

JUNTOS SOMOS FORTES
NEM UM PASSO DAREMOS ATRÁS
DEUS ESTÁ NO CONTROLE https://t.co/lyEzBADItS",https://twitter.com/CaboDaciolo/statuses/1047911180336082944,1255,7453,"Twitter for iPhone"
CaboDaciolo,"ID 1047821586978541569","Thu Oct 04 12:11:48 +0000 2018","Amigos,
Hoje TERÍAMOS  mais um encontro suave e revigorante no debate da Globo.                                    Deus está no controle.
Aguardo vcs nas urnas.                          CABO DACIOLO 51.                                   #DacioloNaGlobo https://t.co/gYzaopnd7k",https://twitter.com/CaboDaciolo/statuses/1047821586978541569,2229,8265,"Twitter for iPhone"
CaboDaciolo,"ID 1047681632302497793","Thu Oct 04 02:55:40 +0000 2018","Obrigado a rádio ""Barba, cabelo e bigode"" https://t.co/D3bFyBX1zV",https://twitter.com/CaboDaciolo/statuses/1047681632302497793,1492,5469,"Twitter for iPhone"
CaboDaciolo,"ID 1047294542733594625","Wed Oct 03 01:17:31 +0000 2018","@kaueod FAKE",https://twitter.com/CaboDaciolo/statuses/1047294542733594625,10,54,"Twitter for iPhone"
CaboDaciolo,"ID 1047150418940387329","Tue Oct 02 15:44:49 +0000 2018","CABO DACIOLO 51
Assim, permanecem agora estes três: a fé, a esperança e o amor. O maior deles, porém, é o amor. 
1 Coríntios 13:13 https://t.co/8KvmlEU5o1",https://twitter.com/CaboDaciolo/statuses/1047150418940387329,1713,11202,"Twitter for iPhone"
CaboDaciolo,"ID 1046939971561693185","Tue Oct 02 01:48:35 +0000 2018","@mariana_godoy @AlexSoaresMusic O próximo.
@mariana_godoy Vc é minha convidada de honra para posse.",https://twitter.com/CaboDaciolo/statuses/1046939971561693185,26,198,"Twitter for iPhone"
