"Tweet author","Tweet ID","Date posted","Tweet text",URL,Retweets,Favorited,Source
Eymaeloficial,"ID 1181524533162983425","Tue Oct 08 10:59:35 +0000 2019","O Brasil e os Brasileiros querem, agora, já, um novo tempo. O Tempo da Verdade! O Tempo dos Pacificadores! O Tempo da Honra e do Caráter!",https://twitter.com/Eymaeloficial/statuses/1181524533162983425,0,1,"Twitter Web App"
Eymaeloficial,"ID 1174642914951073792","Thu Sep 19 11:14:29 +0000 2019","Uma ótima quinta feira a todos os meus amigos e seguidores !",https://twitter.com/Eymaeloficial/statuses/1174642914951073792,5,15,"Twitter Web Client"
Eymaeloficial,"ID 1174641758724079616","Thu Sep 19 11:09:53 +0000 2019","@lucaseym Forte e fraterno abraço, Lucas!",https://twitter.com/Eymaeloficial/statuses/1174641758724079616,0,1,"Twitter Web Client"
Eymaeloficial,"ID 1174639240753373186","Thu Sep 19 10:59:53 +0000 2019","Na Eleição para Presidente em 98, nas 539 cidades com Urnas Eletrônicas, o índice de meus votos válidos foi até 52 vezes menor que nas outras cidades. Que nome isso tem?",https://twitter.com/Eymaeloficial/statuses/1174639240753373186,3,11,"Twitter Web Client"
Eymaeloficial,"ID 1123235453954662401","Tue Apr 30 14:39:35 +0000 2019","Constituinte Eymael visita o Espírito Santo e se reúne com autoridades

O Presidente Nacional da Democracia Cristã (DC), Deputado Federal constituinte,... https://t.co/fMd11dVHxB",https://twitter.com/Eymaeloficial/statuses/1123235453954662401,0,2,Facebook
Eymaeloficial,"ID 1121153435628376071","Wed Apr 24 20:46:23 +0000 2019","Eymael na Baixada Santista

Parte do Projeto Travessia, que visa a Municipalização da Democracia Cristã em todo território nacional, o Deputado Federal Constituinte José Maria Eymael, acompanhado... https://t.co/akBKkWaXYH",https://twitter.com/Eymaeloficial/statuses/1121153435628376071,0,4,Facebook
Eymaeloficial,"ID 1121113551014383617","Wed Apr 24 18:07:54 +0000 2019","Parte do Projeto Travessia, que visa a Municipalização da Democracia Cristã em todo território nacional, o Deputado Federal Constituinte José Maria Eymael, acompanhado pelo Presidente da Comissão... https://t.co/1LmcF1xETU",https://twitter.com/Eymaeloficial/statuses/1121113551014383617,0,4,Facebook
Eymaeloficial,"ID 1118526746486345735","Wed Apr 17 14:48:52 +0000 2019","Em cerimônia solene, nesta última segunda-feira, 15 de abril, a Democracia Cristã filiou aos seus quadros o Colunista e Jornalista Antonio Auad. Personalidade conhecida nos meios de comunicação e no... https://t.co/7LDvDq6i1P",https://twitter.com/Eymaeloficial/statuses/1118526746486345735,0,4,Facebook
Eymaeloficial,"ID 1114222273051885575","Fri Apr 05 17:44:25 +0000 2019","Pré-Candidato a Prefeito de Pedro de Toledo, Eulálio Polaco,  se reúne com Eymael

Destino daqueles que querem construir um Brasil melhor,... https://t.co/biU905sV82",https://twitter.com/Eymaeloficial/statuses/1114222273051885575,0,2,Facebook
Eymaeloficial,"ID 1113167145607852032","Tue Apr 02 19:51:43 +0000 2019","Democracia Cristã: 24 anos de idéias e realizações

Nesse último sábado, 30 de março a Democracia Cristã completou 24anos como uma ativa agremiação política que tem história... https://t.co/N9BQXYAJmt",https://twitter.com/Eymaeloficial/statuses/1113167145607852032,0,2,Facebook
Eymaeloficial,"ID 1113123750621450247","Tue Apr 02 16:59:17 +0000 2019","MANDADO DE SEGURANÇA
CONTRA INÍCIO DA CLÁUSULA DE BARREIRA EM 2018 

A Emenda Constitucional nº 97, afirma de forma categórica e incontroversa, que o rito de transição da Cláusula de Barreira começa na eleição de 2022 e... https://t.co/ihtOkMNXHY",https://twitter.com/Eymaeloficial/statuses/1113123750621450247,0,2,Facebook
Eymaeloficial,"ID 1112781139540930560","Mon Apr 01 18:17:52 +0000 2019","NOTA DE FALECIMENTO

É com profundo pesar que a Democracia Cristã – DC- Se solidariza com a Família deMarco Antônio Eugênio Martini, mais conhecido como Marquinhos o quê, o quê, o quê, que morreu no... https://t.co/I2cAmDQMnE",https://twitter.com/Eymaeloficial/statuses/1112781139540930560,0,5,Facebook
Eymaeloficial,"ID 1111725054734282759","Fri Mar 29 20:21:22 +0000 2019","24 aniversário da Democracia Cristã - DC - em seus 74 anos de história no Brasil! Parabéns Democrata Cristãos! https://t.co/Nw2GTO90f5",https://twitter.com/Eymaeloficial/statuses/1111725054734282759,0,2,Facebook
