"Tweet author","Tweet ID","Date posted","Tweet text",URL,Retweets,Favorited,Source
MarinaSilva,"ID 1191138999295004673","Sun Nov 03 23:44:02 +0000 2019","Enquanto as investigações avançam
Para saber se o óleo tóxico,
Vem de gregos ou troianos,
O presidente Bolsonaro,
Fica só se afastando.

Sequer foi dar um abraço,
Lá no povo nordestino,
Que continua sofrendo,
Onde o óleo catinguento,
Continua se alastrando.",https://twitter.com/MarinaSilva/statuses/1191138999295004673,276,2168,"Twitter Web App"
MarinaSilva,"ID 1191136503138848768","Sun Nov 03 23:34:07 +0000 2019","É preciso dar um basta à escalada dessa política genocida contra os nossos povos indígenas do Brasil. Sangue Indígena: Nenhuma Gota Mais!
https://t.co/cWw3OENDOj",https://twitter.com/MarinaSilva/statuses/1191136503138848768,69,479,"Twitter Web App"
MarinaSilva,"ID 1190344284530257922","Fri Nov 01 19:06:07 +0000 2019","""Bolsonaro não foi ao Nordeste, não entendeu a gravidade do problema, não esboçou um gesto pessoal de solidariedade. Isso é o bê-á-bá da conduta de um presidente."" 
https://t.co/XWI5ViUTZG",https://twitter.com/MarinaSilva/statuses/1190344284530257922,33,218,"Twitter Web App"
MarinaSilva,"ID 1190344282701520897","Fri Nov 01 19:06:07 +0000 2019","O governo virou as costas para a Amazônia nas queimadas e para o Nordeste no caso das manchas de óleo. Preferiu acusar os defensores do meio ambiente e deixar impunes os criminosos ambientais.",https://twitter.com/MarinaSilva/statuses/1190344282701520897,41,284,"Twitter Web App"
MarinaSilva,"ID 1190344280843395072","Fri Nov 01 19:06:06 +0000 2019","O governo inviabilizou em tempo recorde as ações dos órgãos federais responsáveis pela gestão ambiental. Todos vimos como essa incapacidade aumentou a extensão e gravidade das queimadas na Amazônia e das manchas de óleo no NE. E o governo sabe disso.
https://t.co/kZRHnlncpP",https://twitter.com/MarinaSilva/statuses/1190344280843395072,196,1084,"Twitter Web App"
MarinaSilva,"ID 1190279357220245504","Fri Nov 01 14:48:07 +0000 2019","O presidente ameaça o trabalho da imprensa e quer privar as instituições públicas de ter acesso à informação. O que ele quer? Um Pravda pra chamar de seu? É curioso como os extremos se encontram.    
https://t.co/IXPyZakk5l",https://twitter.com/MarinaSilva/statuses/1190279357220245504,303,2355,"Twitter Web App"
MarinaSilva,"ID 1190016723853987840","Thu Oct 31 21:24:31 +0000 2019","A Rede Sustentabilidade entrará com ação no STF contra o Deputado Eduardo Bolsonaro por atentar contra as instituições democráticas e também o denunciaremos no Conselho de Ética da Câmara dos Deputados pedindo a cassação do seu mandato. https://t.co/S63k4ODyKy",https://twitter.com/MarinaSilva/statuses/1190016723853987840,286,1728,"Twitter Web App"
MarinaSilva,"ID 1189981970429812736","Thu Oct 31 19:06:25 +0000 2019","RT @randolfeap: Nós da Rede Sustentabilidade iremos representar contra o deputado Eduardo Bolsonaro no Supremo Tribunal Federal e no Consel…",https://twitter.com/MarinaSilva/statuses/1189981970429812736,591,0,"Twitter Web App"
MarinaSilva,"ID 1189981028791857154","Thu Oct 31 19:02:40 +0000 2019","Depois de dizer que bastava um cabo e soldado pra fechar o STF, agora o dep. Eduardo Bolsonaro fala em aniquilar um suposto “inimigo interno” e “novo AI-5”. A democracia convive com esse paradoxo de também levar ao poder seus sabotadores. Democracia sempre, ditadura nunca mais. https://t.co/v8vCnKFfgU",https://twitter.com/MarinaSilva/statuses/1189981028791857154,369,2301,"Twitter Web App"
MarinaSilva,"ID 1189901123991359488","Thu Oct 31 13:45:09 +0000 2019","O Presidente disse no exterior que potencializou as queimadas por não se identificar com as “políticas anteriores adotadas no tocante à Amazônia”. Essa confissão é gravíssima e precisa ser respondida judicialmente. 
https://t.co/i08TG0ESfp",https://twitter.com/MarinaSilva/statuses/1189901123991359488,820,3437,"Twitter Web App"
