"Tweet author","Tweet ID","Date posted","Tweet text",URL,Retweets,Favorited,Source
alvarodias_,"ID 1181585678934708226","Tue Oct 08 15:02:33 +0000 2019","@apare_aparecida @N_Carvalheira A justiça federal, junto com a Polícia Federal, conduz investigação sobre o assunto, e que corre sob sigilo de justiça. Continuarei acompanhando de perto, é de interesse público.",https://twitter.com/alvarodias_/statuses/1181585678934708226,0,1,"Twitter for Android"
alvarodias_,"ID 1181584750496174080","Tue Oct 08 14:58:51 +0000 2019","@sandraamorim123 Ambas as coisas. As propostas não se opõem. #EquipeAlvaroDias",https://twitter.com/alvarodias_/statuses/1181584750496174080,0,0,"Twitter for Android"
alvarodias_,"ID 1181584634859212801","Tue Oct 08 14:58:24 +0000 2019","@DouradoGleide Tenho defendido isso com todas as forças, o tempo todo. Continuarei firme.",https://twitter.com/alvarodias_/statuses/1181584634859212801,0,0,"Twitter for Android"
alvarodias_,"ID 1181571414878556161","Tue Oct 08 14:05:52 +0000 2019",https://t.co/FHlNpmi1Km,https://twitter.com/alvarodias_/statuses/1181571414878556161,3,26,"Twitter for Android"
alvarodias_,"ID 1181562496617984001","Tue Oct 08 13:30:26 +0000 2019","Chega de privilégios!! Chega de foro privilegiado!! Cobre os deputados para que votem, de uma vez por todas, em plenário, o projeto do senador Alvaro Dias que acaba com o foro privilegiado de mais de 55 mil autoridades. #EquipeAlvaroDias https://t.co/SE9pUzrmis",https://twitter.com/alvarodias_/statuses/1181562496617984001,20,101,"Twitter for Android"
alvarodias_,"ID 1181549808915496961","Tue Oct 08 12:40:01 +0000 2019","STF: Decisões de conveniência, insegurança jurídica e ativismo político? 
""Que Justiça é essa❓"" Questiona Alvaro Dias. 
#EquipeAlvaroDias https://t.co/Lgs9rTmmsQ",https://twitter.com/alvarodias_/statuses/1181549808915496961,65,273,"Twitter for iPhone"
alvarodias_,"ID 1181548278229258240","Tue Oct 08 12:33:56 +0000 2019","Caixa 2 é, sim, crime eleitoral. Pagar ou receber doação via caixa 2, portanto, é, por si só, criminalizar a política. #EquipeAlvaroDias  https://t.co/IsuIkGam8Y",https://twitter.com/alvarodias_/statuses/1181548278229258240,14,93,"Twitter for Android"
alvarodias_,"ID 1181545972972871680","Tue Oct 08 12:24:46 +0000 2019","Bomba: Vazam Todos os anexos de Palocci. 
Crusoé obteve a íntegra dos capítulos da delação premiada do ex-ministro de Lula e Dilma. Saiba o que há de novo nos relatos
Marcello Casal Jr/Agência Brasil
Palocci com Lula no auge da era petista no...Leia mais: https://t.co/e5bOKJTVvX https://t.co/nFydw2KnMV",https://twitter.com/alvarodias_/statuses/1181545972972871680,62,228,"Twitter for Android"
alvarodias_,"ID 1181539793882226688","Tue Oct 08 12:00:13 +0000 2019","Chumbo grosso : Fala Palocci. https://t.co/xGoHiVZXci",https://twitter.com/alvarodias_/statuses/1181539793882226688,436,1046,"Twitter for iPhone"
alvarodias_,"ID 1181382631960842242","Tue Oct 08 01:35:43 +0000 2019","RT @joaolustosa_: Saudosa lembrança do irmão Hostilio😢. Bela homenagem Senador @alvarodias_ ,em nome da Família Lustosa, muito obrigado. ht…",https://twitter.com/alvarodias_/statuses/1181382631960842242,1,0,"Twitter for Android"
alvarodias_,"ID 1181358726965596161","Tue Oct 08 00:00:43 +0000 2019","Passagens caras!! Cobrança pela bagagem!! Inoperância TOTAL da Gol! E onde está a Anac?? 😡 #EquipeAlvaroDias  https://t.co/1VWkTrAAai via @alvarodias_",https://twitter.com/alvarodias_/statuses/1181358726965596161,17,113,"Twitter for Android"
alvarodias_,"ID 1181353626817765377","Mon Oct 07 23:40:27 +0000 2019","Em Lagoa Santa, Minas Gerais a reunião com integrantes do sistema de segurança pública do estado. Presença também dos deputados Igor Timo e Ale Silva https://t.co/vKnqBkLkHO",https://twitter.com/alvarodias_/statuses/1181353626817765377,0,24,"Twitter for iPhone"
alvarodias_,"ID 1181353175380582400","Mon Oct 07 23:38:40 +0000 2019","No encontro em Lagoa Santa, MG, com policiais federais,Civis e Militares contamos também com a presença dos Deputados Igor Timo e Ale Silva. #AlvaroDias https://t.co/yGKeP9nbjI",https://twitter.com/alvarodias_/statuses/1181353175380582400,0,19,"Twitter for iPhone"
alvarodias_,"ID 1181353104668856320","Mon Oct 07 23:38:23 +0000 2019","Parabéns aos conselheiros tutelares https://t.co/82XQ3Cu3Zj",https://twitter.com/alvarodias_/statuses/1181353104668856320,10,69,"Twitter for iPhone"
alvarodias_,"ID 1181306073724149760","Mon Oct 07 20:31:30 +0000 2019","A verdade: Mais justiça, menos privilégios. https://t.co/llyrSehU2n",https://twitter.com/alvarodias_/statuses/1181306073724149760,38,243,"Twitter for iPhone"
alvarodias_,"ID 1181305578804715520","Mon Oct 07 20:29:32 +0000 2019","Parabéns aos conselheiros tutelares. https://t.co/FTp8AV9bcX",https://twitter.com/alvarodias_/statuses/1181305578804715520,2,54,"Twitter for iPhone"
alvarodias_,"ID 1181250937861607424","Mon Oct 07 16:52:24 +0000 2019","Toffoli disse que a CPI da Lava Toga é ""desnecessária"". E ai, vocês concordam com o presidente do STF?
#EquipeAlvaroDias 
https://t.co/DX2RWMZJ77",https://twitter.com/alvarodias_/statuses/1181250937861607424,608,2774,"Twitter for Android"
alvarodias_,"ID 1181211917249138688","Mon Oct 07 14:17:21 +0000 2019","Amigos de Cascavel, PR. Há 5 anos estávamos juntos. Hoje a ausência do Hostilio Lustosa que se foi prematuramente, é o espaço da saudade que ficou ! #Destino. #AlvaroDias https://t.co/lb0qXDa5v6",https://twitter.com/alvarodias_/statuses/1181211917249138688,2,34,"Twitter for iPhone"
alvarodias_,"ID 1181206982096822272","Mon Oct 07 13:57:44 +0000 2019","Eu quero a aprovação do projeto do senador Alvaro Dias que insere na Constituição a prisão de condenados em segunda instância! #EquipeAlvaroDias https://t.co/ptcWtQDh8q",https://twitter.com/alvarodias_/statuses/1181206982096822272,91,402,"Twitter for Android"
alvarodias_,"ID 1181202168260509697","Mon Oct 07 13:38:37 +0000 2019","@Leandro84510681 Mas o presidente do Senado tem negado todos os pedidos. Ele tem a prerrogativa de instalar ou não a CPI e de colocar em votação os pedidos de impeachment. #EquipeAlvaroDias.",https://twitter.com/alvarodias_/statuses/1181202168260509697,0,0,"Twitter Web App"
