"Tweet author","Tweet ID","Date posted","Tweet text",URL,Retweets,Favorited,Source
cirogomes,"ID 1181577585509175298","Tue Oct 08 14:30:23 +0000 2019","Reparem bem na diferença da renda no Brasil. Dados que mostram como nosso país é desigual. #OBSERVATORIOTRABALHISTA https://t.co/x4GsyiPfq0",https://twitter.com/cirogomes/statuses/1181577585509175298,61,271,"Twitter for iPhone"
cirogomes,"ID 1181576414744776705","Tue Oct 08 14:25:44 +0000 2019","É fundamental avaliarmos o governo pelas respostas para nossos principais dramas. Repare bem nos dados do desemprego. Até agora esse governo não apresentou medidas para reverter esse quadro. #OBSERVATORIOTRABALHISTA https://t.co/BVCEKil6UV",https://twitter.com/cirogomes/statuses/1181576414744776705,40,260,"Twitter for iPhone"
cirogomes,"ID 1181570542144540672","Tue Oct 08 14:02:24 +0000 2019","#aovivo Quais as razões do governo Bolsonaro ser tão ruim? 
Vamos analisar agora os primeiros nove meses dessa governo antinacional.
Com o #ObservatórioTrabalhista. 
Acompanhe! https://t.co/3NhGELmUD5",https://twitter.com/cirogomes/statuses/1181570542144540672,58,283,"Twitter for iPhone"
cirogomes,"ID 1181548108783730688","Tue Oct 08 12:33:15 +0000 2019","Estou em Brasília para analisar os 9 meses do governo Bolsonaro.
Será na sede do PDT, às 10h. Vou apresentar uma atualização do #ObservatórioTrabalhista, ferramenta que acompanha os principais indicadores da economia e demais setores. A apresentação será seguida de coletiva. https://t.co/vVb2SqNcWn",https://twitter.com/cirogomes/statuses/1181548108783730688,81,416,"Twitter for iPhone"
cirogomes,"ID 1181538686040707072","Tue Oct 08 11:55:49 +0000 2019","RT @CanalMyNews: Na quarta-feira, às 20h30, @MaraLuquet comanda uma nova edição do #AjusteDeContas! Ela receberá no programa @cirogomes, do…",https://twitter.com/cirogomes/statuses/1181538686040707072,77,0,"Twitter for iPhone"
cirogomes,"ID 1181256094640988170","Mon Oct 07 17:12:54 +0000 2019","Gravando o programa Ajuste de Contas, do @CanalMyNews, com @MaraLuquet. O programa contou também com a participação da jornalista @Neila_Fontenele. Vai ao ar nesta próxima quarta-feira, 20h30. 

Acompanhe! https://t.co/BuRnGCxhuH",https://twitter.com/cirogomes/statuses/1181256094640988170,117,645,"Twitter for iPhone"
cirogomes,"ID 1181237593486368768","Mon Oct 07 15:59:23 +0000 2019","RT @PDTnaCamara: A com. especial do Superendividamento do Consumidor (PL 3515/15) debate, nesta terça, formas de reduzir as dívidas da popu…",https://twitter.com/cirogomes/statuses/1181237593486368768,48,0,"Twitter for iPhone"
cirogomes,"ID 1181237446375280640","Mon Oct 07 15:58:48 +0000 2019","(...) (5,5 milhões de mensagens por semana ) no WhatsApp a partir de servidores na Espanha, nos Estados Unidos e de empresas corruptas deIsrael. Alô, imprensa brasileira, alô, Folha de SP... por que vocês não vão atrás de iluminar a cegueira de nossa justiça?",https://twitter.com/cirogomes/statuses/1181237446375280640,204,1557,"Twitter for iPhone"
cirogomes,"ID 1181237442264944640","Mon Oct 07 15:58:47 +0000 2019","Este caixa 2 do PSL é um trocado na frente do verdadeiro caixa 2 da campanha de Bolsonaro. Só nosso judiciário esquisito é que não sabe do dinheiro estrangeiro, aos milhões de dólares e euros que pagaram publicidade no facebook e impulsionamentos (...) https://t.co/r10qBkyayO",https://twitter.com/cirogomes/statuses/1181237442264944640,667,3874,"Twitter for iPhone"
cirogomes,"ID 1181175812982284289","Mon Oct 07 11:53:53 +0000 2019","Educação, educação e educação! 
Ideia, exemplo e militância! https://t.co/CPaHsVxRlF",https://twitter.com/cirogomes/statuses/1181175812982284289,217,1252,"Twitter for iPhone"
cirogomes,"ID 1180241440070422528","Fri Oct 04 22:01:01 +0000 2019","No interior da Ceará as pessoas têm uma explicação matuta : rabo preso ! https://t.co/hkUNnzQ7Wc",https://twitter.com/cirogomes/statuses/1180241440070422528,462,3415,"Twitter for iPhone"
cirogomes,"ID 1180149360170065921","Fri Oct 04 15:55:08 +0000 2019","Vamos atualizar o #OBSERVATÓRIOTRABALHISTA!

Dia 08/10, na sede nacional do @PDT_Nacional em Brasilia! 

Acompanhe! https://t.co/iJJdsQvR8f",https://twitter.com/cirogomes/statuses/1180149360170065921,107,493,"Twitter for iPhone"
cirogomes,"ID 1180093373753036800","Fri Oct 04 12:12:40 +0000 2019","Este é o rumo da transição necessária. O rumo do atual governo está indo na direção oposta!",https://twitter.com/cirogomes/statuses/1180093373753036800,40,573,"Twitter for iPhone"
cirogomes,"ID 1180093371911684096","Fri Oct 04 12:12:39 +0000 2019","Os outros motores enguiçados são : o investimento empresarial colapsado pelo endividamento recorde, o investimento público trazido ao menor volume da história e uma dependência externa estrutural causada pela desindustrialização (...)",https://twitter.com/cirogomes/statuses/1180093371911684096,52,585,"Twitter for iPhone"
cirogomes,"ID 1180093370166849537","Fri Oct 04 12:12:39 +0000 2019","Desemprego em massa, informalidade recorde e crédito colapsado afirmam ser despreparo ou mentira pura e simples a promessa de volta do crescimento sem providências nesta área. (...)",https://twitter.com/cirogomes/statuses/1180093370166849537,53,449,"Twitter for iPhone"
cirogomes,"ID 1180093367352463360","Fri Oct 04 12:12:38 +0000 2019","Todas as vezes que nossa economia cresceu, mesmo muito mediocremente, 60% deste crescimento foi puxado pelo consumo das famílias.(...)",https://twitter.com/cirogomes/statuses/1180093367352463360,176,1667,"Twitter for iPhone"
cirogomes,"ID 1180062815496933376","Fri Oct 04 10:11:14 +0000 2019","Não basta apenas liberar uma pequena parcela do FGTS. Se não mudar essa lógica, o Brasil seguirá como o país mais desigual do mundo!",https://twitter.com/cirogomes/statuses/1180062815496933376,109,1290,"Twitter for iPhone"
cirogomes,"ID 1180062813693329408","Fri Oct 04 10:11:13 +0000 2019","O endividamento das famílias é fruto da política econômica de governos que se diziam social-democrata ou de esquerda. Concentraram 85% das operações financeiras em apenas cinco bancos e entregaram nosso povo aos juros mais abusivos do planeta. https://t.co/dXrZFIwtv7",https://twitter.com/cirogomes/statuses/1180062813693329408,418,2860,"Twitter for iPhone"
