"Tweet author","Tweet ID","Date posted","Tweet text",URL,Retweets,Favorited,Source
geraldoalckmin,"ID 1105954932199432195","Wed Mar 13 22:12:58 +0000 2019","Embora enlutados, temos de procurar fazer o máximo para que o amor e a fé possam sobreviver neste mundo que parece naufragar em um mar de barbárie.

A fé e a esperança vão aplacar a nossa dor.",https://twitter.com/geraldoalckmin/statuses/1105954932199432195,105,680,"Twitter for iPhone"
geraldoalckmin,"ID 1105954794496237569","Wed Mar 13 22:12:25 +0000 2019","Neste momento em que a razão também parece ser vítima da chacina, só nos resta tentar transmitir consolo e solidariedade a quem foi atingido mais de perto por esta tragédia que abalou todo o Estado de São Paulo e o Brasil.",https://twitter.com/geraldoalckmin/statuses/1105954794496237569,65,315,"Twitter for iPhone"
geraldoalckmin,"ID 1105954612052406274","Wed Mar 13 22:11:41 +0000 2019","Alunos e funcionários fuzilados em uma escola pública na dinâmica cidade de Suzano.

É um ato covarde, estúpido, brutal. Uma tristeza imensa, sem explicação, sem o mínimo sentido.",https://twitter.com/geraldoalckmin/statuses/1105954612052406274,100,1271,"Twitter for iPhone"
geraldoalckmin,"ID 1088937135472893953","Fri Jan 25 23:10:19 +0000 2019","Minha solidariedade com as famílias e com o povo mineiro; nosso pensamento e orações para as vítimas atingidas pela triste tragédia de Brumadinho.",https://twitter.com/geraldoalckmin/statuses/1088937135472893953,195,2226,"Twitter Web Client"
geraldoalckmin,"ID 1060689981704945664","Fri Nov 09 00:26:12 +0000 2018","https://t.co/SbCl7aDk5D https://t.co/y3TmhETaUx",https://twitter.com/geraldoalckmin/statuses/1060689981704945664,42,887,"Twitter for iPhone"
geraldoalckmin,"ID 1057082754213523461","Tue Oct 30 01:32:22 +0000 2018","É pretender substituir a liberdade de Imprensa pelo clientelismo de Imprensa. Alguns fazem críticas aos seus críticos porque não conhecem seus próprios limites. O futuro Presidente vai ter de conviver e de respeitar todos e, em especial, os que a ele dirijam críticas.",https://twitter.com/geraldoalckmin/statuses/1057082754213523461,2334,11220,"Twitter Web Client"
geraldoalckmin,"ID 1057082670658805760","Tue Oct 30 01:32:02 +0000 2018","Os ataques feitos hoje pelo futuro presidente à Folha de São Paulo representam um acinte a toda a Imprensa e a ameaça de cooptar veículos de comunicação pela oferta de dinheiro público é uma ofensa à moralidade e ao jornalismo nacional.",https://twitter.com/geraldoalckmin/statuses/1057082670658805760,5056,20631,"Twitter Web Client"
geraldoalckmin,"ID 1057082635296690176","Tue Oct 30 01:31:54 +0000 2018","Começou mal. A defesa da liberdade ficou no discurso de ontem.",https://twitter.com/geraldoalckmin/statuses/1057082635296690176,4453,24956,"Twitter Web Client"
geraldoalckmin,"ID 1056715597009092608","Mon Oct 29 01:13:25 +0000 2018","A democracia se fortalece a cada voto e em todas as eleições.
Felicidade para o povo brasileiro!",https://twitter.com/geraldoalckmin/statuses/1056715597009092608,90,1151,"Twitter Web Client"
geraldoalckmin,"ID 1056715536040648704","Mon Oct 29 01:13:11 +0000 2018","As urnas externaram o desejo sincero do povo por mudanças, pois que todos nós sejamos capazes de bem compreender essa mensagem para conduzirmos a política partidária a um novo patamar, de respeito e participação de outros brasileiros.",https://twitter.com/geraldoalckmin/statuses/1056715536040648704,80,947,"Twitter Web Client"
