"Tweet author","Tweet ID","Date posted","Tweet text",URL,Retweets,Favorited,Source
jairbolsonaro,"ID 1181555895311974400","Tue Oct 08 13:04:12 +0000 2019","Crescimento nos empregos formais: seguido de Belo Horizonte, Curitiba, Brasília, Manaus, São Luís, Goiânia, Campo Grande e Vitória, Campo Grande, Cuiabá e Palmas. Temos tudo para tirar o Brasil da lama que nos meteram! Precisamos da força da população para continuarmos evoluindo!",https://twitter.com/jairbolsonaro/statuses/1181555895311974400,1306,7712,"Twitter for iPhone"
jairbolsonaro,"ID 1181551312674140160","Tue Oct 08 12:45:59 +0000 2019","Maioria das capitais vive retomada do emprego formal. 14 tiveram saldo positivo com carteira assinada nos 8 primeiros meses do ano. São Paulo lidera o ranking, com 58.889 novos postos de trabalho. A herança monstruosa deixada pelo PT tem que ser revertida! @AgoraNoticiasBr",https://twitter.com/jairbolsonaro/statuses/1181551312674140160,2492,12986,"Twitter for iPhone"
jairbolsonaro,"ID 1181518230017515520","Tue Oct 08 10:34:32 +0000 2019","RT @policiafederal: A PF deflagrou, na manhã de hoje 08/10, em conjunto com o @MPF_PGR, o GAECO/MP/PB e a @CGUonline, a 5ª fase da #OpXeque…",https://twitter.com/jairbolsonaro/statuses/1181518230017515520,838,0,"Twitter for iPhone"
jairbolsonaro,"ID 1181511833682939905","Tue Oct 08 10:09:07 +0000 2019","Mais uma realidade exposta. Aprovação do #PacoteAnticrime é um dos maiores anseios da sociedade! https://t.co/HvGk3NWcRe",https://twitter.com/jairbolsonaro/statuses/1181511833682939905,6113,24077,"Twitter for iPhone"
jairbolsonaro,"ID 1181367740709396481","Tue Oct 08 00:36:32 +0000 2019","Sancionado o novo marco das telecomunicações. Mais ampliação do acesso à internet para a população, ou seja, informação chegando mesmo em locais onde o investimento em banda larga é considerado pouco rentável pelas empresas: os rincões do Brasil. Entenda: https://t.co/RSNCJ7Jc4X",https://twitter.com/jairbolsonaro/statuses/1181367740709396481,4495,22805,"Twitter for iPhone"
jairbolsonaro,"ID 1181330545277575170","Mon Oct 07 22:08:44 +0000 2019",". Via Ministro da Justiça e Segurança Pública, @SF_Moro .

#PacoteAnticrime . Pessoas - e não estatísticas - são vítimas de crimes. https://t.co/qIE8844dCs",https://twitter.com/jairbolsonaro/statuses/1181330545277575170,5944,22780,"Twitter for iPhone"
jairbolsonaro,"ID 1181323221532123145","Mon Oct 07 21:39:38 +0000 2019","Inaugurada Unidade de Distribuição da Agricultura Familiar de Santiago/RS, que movimentará cerca de 22 toneladas de alimentos durante os 10 meses de convênio com o Programa de Aquisição de Alimentos. Cooperando com o pequeno produtor surgem gigantescos resultados! @MinCidadania",https://twitter.com/jairbolsonaro/statuses/1181323221532123145,3043,15697,"Twitter for iPhone"
jairbolsonaro,"ID 1181304052065460224","Mon Oct 07 20:23:28 +0000 2019","Via @BolsonaroSP : Acompanhando o @MEC_Comunicacao @AbrahamWeint na entrega de 180 ônibus escolares, todos com acessibilidade, para 144 municípios de SP. De um lado o governo Bolsonaro corta a corrupção e o desperdício para que do outro venham benefícios para a sociedade. https://t.co/JjAmNlA6O7",https://twitter.com/jairbolsonaro/statuses/1181304052065460224,2301,11532,"Twitter for iPhone"
jairbolsonaro,"ID 1181267750716616704","Mon Oct 07 17:59:13 +0000 2019",https://t.co/PQbqRXBnzL,https://twitter.com/jairbolsonaro/statuses/1181267750716616704,2940,12565,"Twitter for iPhone"
jairbolsonaro,"ID 1181257377225555968","Mon Oct 07 17:18:00 +0000 2019","Segurança sempre foi a maior preocupação das pessoas. Por isso não estamos medindo esforços para, mesmo com poucos recursos, de forma eficiente e inteligente, trazer alívio para a população. Homicídios no Brasil já caíram mais de 20%. Ainda é pouco, mas estamos no caminho certo!",https://twitter.com/jairbolsonaro/statuses/1181257377225555968,5807,32207,"Twitter for iPhone"
