"Tweet author","Tweet ID","Date posted","Tweet text",URL,Retweets,Favorited,Source
joaoamoedonovo,"ID 1181572011941863424","Tue Oct 08 14:08:14 +0000 2019","Fundão* + Fundo Partidário em 2020:

PSL - R$359 milhões
PT - R$350 milhões
MDB - R$246 milhões
PSDB - R$226 milhões

Não importa o partido que você apoia, você pagará essa conta.

*considerando a possibilidade de aumento para R$2,5 bilhões",https://twitter.com/joaoamoedonovo/statuses/1181572011941863424,354,1553,"Twitter Web App"
joaoamoedonovo,"ID 1181558110349082624","Tue Oct 08 13:13:00 +0000 2019","Imagine como seria o Brasil se estes políticos se empenhassem tanto em melhorar a política como fazem para aumentar o dinheiro público para partidos e políticos?

https://t.co/LMXJDTiCPd",https://twitter.com/joaoamoedonovo/statuses/1181558110349082624,106,591,"Twitter Web App"
joaoamoedonovo,"ID 1181551291933306881","Tue Oct 08 12:45:54 +0000 2019","O NOVO continuará crescendo e sendo diferente. Enquanto seguirmos nossos princípios e valores seremos sempre NOVO. https://t.co/ELDl1xkXwp",https://twitter.com/joaoamoedonovo/statuses/1181551291933306881,15,161,"Twitter Web App"
joaoamoedonovo,"ID 1181326159822442496","Mon Oct 07 21:51:19 +0000 2019","RT @partidonovo30: Nossos deputados estaduais e distrital:
@freitasnovorj, Bartô, @ChicaoBulhoes, @danieljosebr, @FabioOstermann, @Giuseppe…",https://twitter.com/joaoamoedonovo/statuses/1181326159822442496,5,0,"Twitter for Android"
joaoamoedonovo,"ID 1181326154436882438","Mon Oct 07 21:51:17 +0000 2019","RT @partidonovo30: Parabéns pela conquista!

Governador e Vice-Governador de Minas Gerais:
@RomeuZema e @paulobrant_ 

Bancada do @novonaca…",https://twitter.com/joaoamoedonovo/statuses/1181326154436882438,6,0,"Twitter for Android"
joaoamoedonovo,"ID 1181326096337379328","Mon Oct 07 21:51:04 +0000 2019","RT @partidonovo30: Hoje completa 1 ano do nosso incrível resultado nas Eleições de 2018!

Parabenizamos todos os candidatos do NOVO, em esp…",https://twitter.com/joaoamoedonovo/statuses/1181326096337379328,56,0,"Twitter for Android"
joaoamoedonovo,"ID 1181314644637605888","Mon Oct 07 21:05:33 +0000 2019","Gastamos 12,8% do PIB com funcionalismo público, enquanto a Europa gasta, em média, 10,3%.

E parte do problema está na elite do funcionalismo, que ganha muito e são muitos: 33% dos servidores chegam ao topo da carreira.

Precisamos de uma reforma administrativa com urgência.",https://twitter.com/joaoamoedonovo/statuses/1181314644637605888,208,1619,"Twitter Web App"
joaoamoedonovo,"ID 1181304358924890118","Mon Oct 07 20:24:41 +0000 2019","RT @ChicaoBulhoes: Estão querendo limitar a liberdade do indivíduo de doar para o partido no qual ele acredita.

Quando começam a se incomo…",https://twitter.com/joaoamoedonovo/statuses/1181304358924890118,105,0,"Twitter Web App"
joaoamoedonovo,"ID 1181303623965388801","Mon Oct 07 20:21:46 +0000 2019","@thiagonoft @crvgthiaguin @partidonovo30 👍",https://twitter.com/joaoamoedonovo/statuses/1181303623965388801,1,19,"Twitter Web App"
joaoamoedonovo,"ID 1181303109617901568","Mon Oct 07 20:19:43 +0000 2019","@crvgthiaguin @partidonovo30 Sem dúvidas! Essas são apenas algumas pautas",https://twitter.com/joaoamoedonovo/statuses/1181303109617901568,1,25,"Twitter Web App"
joaoamoedonovo,"ID 1181302309768351746","Mon Oct 07 20:16:32 +0000 2019","@partidonovo30 Nenhum outro partido defende todas essas pautas.
Se você concorda com elas, filie-se ao NOVO! https://t.co/B6HiOXriTU",https://twitter.com/joaoamoedonovo/statuses/1181302309768351746,20,171,"Twitter Web App"
joaoamoedonovo,"ID 1181301930477473792","Mon Oct 07 20:15:02 +0000 2019","O @partidonovo30 é o único partido que defende:

➡️ Facilitar a vida de quem quer trabalhar e empreender
➡️ Eliminar privilégios p/ políticos, elite do funcionalismo e grandes empresas
➡️ Fim do Fundão e Fundo Partidário
➡️ Fortalecer a Lava Jato
➡️ Priorizar educação básica",https://twitter.com/joaoamoedonovo/statuses/1181301930477473792,144,1070,"Twitter Web App"
joaoamoedonovo,"ID 1181272843348299783","Mon Oct 07 18:19:27 +0000 2019","O crescimento do NOVO incomoda cada vez mais a velha política. É um ótimo sinal. https://t.co/OLC5MEvqYU",https://twitter.com/joaoamoedonovo/statuses/1181272843348299783,169,1101,"Twitter Web App"
joaoamoedonovo,"ID 1181271593558974464","Mon Oct 07 18:14:29 +0000 2019","RT @partidonovo30: O NOVO defende a liberdade e deseja sucesso a população de Hong Kong na luta contra o autoritarismo.",https://twitter.com/joaoamoedonovo/statuses/1181271593558974464,26,0,"Twitter Web App"
