"Tweet author","Tweet ID","Date posted","Tweet text",URL,Retweets,Favorited,Source
verapstu,"ID 1113601171430703109","Thu Apr 04 00:36:23 +0000 2019","QUEM SÃO OS PRIVILEGIADOS? | Paulo Guedes e o governo querem te convencer de que você é um privilegiado. Pra eles, idosos carentes, trabalhador rural e professor é privilegiado. Mas quem são os verdadeiros privilegiados? https://t.co/KAE6YEREC0",https://twitter.com/verapstu/statuses/1113601171430703109,5,13,"Twitter for iPhone"
verapstu,"ID 1112337510812868608","Sun Mar 31 12:55:03 +0000 2019","#DitaduraNuncaMais https://t.co/5D1tjrVRIz",https://twitter.com/verapstu/statuses/1112337510812868608,2,8,"Twitter for iPhone"
verapstu,"ID 1110844106010435584","Wed Mar 27 10:00:48 +0000 2019","Vamos sim é relembrar a heroica resistência do povo contra uma ditadura que matou, estuprou e perseguiu brasileiros #DitaduraNuncaMais https://t.co/c0W6DiUjsW",https://twitter.com/verapstu/statuses/1110844106010435584,5,21,"Twitter for iPhone"
verapstu,"ID 1080431608400887808","Wed Jan 02 11:52:23 +0000 2019","O primeiro desafio deles é enfiar goela abaixo da nossa classe a reforma da Previdência e o ataque às aposentadorias em benefício dos banqueiros. O nosso primeiro desafio é organizar a luta para impedir esse ataque

https://t.co/mjYrwLxbsb",https://twitter.com/verapstu/statuses/1080431608400887808,3,13,"Twitter for iPhone"
verapstu,"ID 1078406799508865024","Thu Dec 27 21:46:31 +0000 2018","Longe de representar o fim da guerra travada desde o início do ano, a aprovação da medida promete provocar novas batalhas.

https://t.co/DpyRFDgc4t",https://twitter.com/verapstu/statuses/1078406799508865024,1,3,"Twitter for iPhone"
verapstu,"ID 1075432683340267522","Wed Dec 19 16:48:26 +0000 2018","Confira o programa ‘Conversa com Vera’ desta semana, sobre a França! E não se esqueça de compartilhar e se inscrever no canal! #assessoria 

https://t.co/HeTNmYh1Kx",https://twitter.com/verapstu/statuses/1075432683340267522,1,10,"Twitter for iPhone"
verapstu,"ID 1072625585472573440","Tue Dec 11 22:54:02 +0000 2018","Assim como exigimos investigação dos escândalos de corrupção dos governos Lula e Dilma (PT), e os do governo Temer (MDB), o PSTU exige a investigação imediata do escândalo que abala o governo que sequer tomou posse.

https://t.co/4iOPAX9Aao",https://twitter.com/verapstu/statuses/1072625585472573440,4,17,"Twitter Web Client"
verapstu,"ID 1072580024069439489","Tue Dec 11 19:52:59 +0000 2018","MULHERES | É preciso unificar a classe contra o retrocesso nas pautas democráticas dos setores oprimidos

https://t.co/w0fAKBM8zZ",https://twitter.com/verapstu/statuses/1072580024069439489,1,6,"Twitter Web Client"
verapstu,"ID 1070068659484323840","Tue Dec 04 21:33:43 +0000 2018","Hoje teve a estreia do meu canal no YouTube. Todas as terças-feiras, sempre às 18h, teremos o 
‘Conversa com Vera’. O papo de hoje é sobre o programa Mais Médicos e a saúde pública no Brasil. 

Assista e inscreva-se no canal: https://t.co/zzHSLG7afY",https://twitter.com/verapstu/statuses/1070068659484323840,9,33,"Twitter for iPhone"
verapstu,"ID 1069712646956560384","Mon Dec 03 21:59:03 +0000 2018","RT @pstu: NACIONAL | O deputado que relatou a reforma trabalhista, Rogério Marinho, investigado por fraude em empresas terceirizadas, não c…",https://twitter.com/verapstu/statuses/1069712646956560384,6,0,"Twitter for iPhone"
verapstu,"ID 1067471734054494209","Tue Nov 27 17:34:28 +0000 2018","JUVENTUDE | A Juventude do PSTU faz um chamado aos jovens, aos estudantes, aos coletivos revolucionários que existem por todo o país para construirmos uma organização revolucionaria de juventude em nível nacional.

https://t.co/P6DBtwk8OD",https://twitter.com/verapstu/statuses/1067471734054494209,5,9,"Twitter for iPhone"
verapstu,"ID 1062044630185861122","Mon Nov 12 18:09:06 +0000 2018","LGBTs| Precisamos organizar nossa defesa de forma coletiva. Temos o direito de defender nossas vidas. Nossa autodefesa deve ser coletiva e organizada e devemos impulsioná-la através dos sindicatos, partidos, movimento estudantil, entre outros

https://t.co/gqiFHNirZ3",https://twitter.com/verapstu/statuses/1062044630185861122,4,16,"Twitter for iPhone"
verapstu,"ID 1060583409758683136","Thu Nov 08 17:22:44 +0000 2018","OPINIÃO ENTREVISTA VERA | O programa Opinião entrevista a ex-candidata do PSTU à Presidência, Vera, que analisa o resultado das eleições e fala sobre os desafios colocados à classe trabalhadora para o próximo período #EquipeComunicação

https://t.co/znWA0zq3f3",https://twitter.com/verapstu/statuses/1060583409758683136,9,20,"Twitter for iPhone"
verapstu,"ID 1058032372996890624","Thu Nov 01 16:25:49 +0000 2018","A fusão dos Ministérios da Agricultura e do Meio Ambiente tem como objetivo liberar a região para esse novo ciclo de acumulação primitiva. Tem suas semelhanças com o que foi realizado pela ditadura militar na região, mas também enormes diferenças.

https://t.co/lPsFR7bOPK",https://twitter.com/verapstu/statuses/1058032372996890624,7,23,"Twitter for iPhone"
verapstu,"ID 1057638281259626497","Wed Oct 31 14:19:50 +0000 2018","Vamos à luta! https://t.co/DIwEJL0SRV",https://twitter.com/verapstu/statuses/1057638281259626497,9,25,"Twitter for iPhone"
verapstu,"ID 1056875753718104065","Mon Oct 29 11:49:50 +0000 2018","NOTA DO PSTU SOBRE O RESULTADO DAS ELEIÇÕES 

https://t.co/c5ekWeAJf6",https://twitter.com/verapstu/statuses/1056875753718104065,7,23,"Twitter for iPhone"
verapstu,"ID 1055496641376063489","Thu Oct 25 16:29:44 +0000 2018","“Independente de quem ganhe as eleições, nós precisamos nos unir aqui embaixo, organizar a classe trabalhadora e preparar as lutas que virão!” https://t.co/bFcwpcazdY",https://twitter.com/verapstu/statuses/1055496641376063489,4,20,"Twitter for iPhone"
verapstu,"ID 1052884737562476545","Thu Oct 18 11:30:57 +0000 2018","Os ataques contra ativistas com o objetivo de polarizar ainda mais as eleições, feitos de forma covarde e para intimidar quem está contra Bolsonaro, são um sinal de que esses grupos e indivíduos podem sentir-se liberados para atuar amanhã

https://t.co/HPsqNauJt0",https://twitter.com/verapstu/statuses/1052884737562476545,20,83,"Twitter for iPhone"
verapstu,"ID 1052663585971695616","Wed Oct 17 20:52:11 +0000 2018","As tarefas do próximo período na base dos trabalhadores

https://t.co/tNJ4mGdJjW",https://twitter.com/verapstu/statuses/1052663585971695616,5,9,"Twitter for iPhone"
verapstu,"ID 1050803027379200000","Fri Oct 12 17:38:59 +0000 2018","Derrotar Jair Bolsonaro nas urnas e nas ruas!

https://t.co/SARkUfGH0D",https://twitter.com/verapstu/statuses/1050803027379200000,18,79,"Twitter for iPhone"
verapstu,"ID 1050438336593178629","Thu Oct 11 17:29:50 +0000 2018","Derrotar Jair Bolsonaro nas urnas e nas ruas!

https://t.co/SARkUfGH0D",https://twitter.com/verapstu/statuses/1050438336593178629,18,72,"Twitter for iPhone"
verapstu,"ID 1048371117868634114","Sat Oct 06 00:35:26 +0000 2018","Hoje, encerramos a campanha com uma linda caminhada pelas ruas do Centro de Aracaju, cidade que me acolheu ainda menina. Agradeço a todos que estiveram junto comigo nessa jornada, levando o chamado à rebelião por todo o Brasil! https://t.co/QZvWzBCnsN",https://twitter.com/verapstu/statuses/1048371117868634114,11,45,"Twitter for iPhone"
verapstu,"ID 1048333462925725696","Fri Oct 05 22:05:49 +0000 2018","16 é rebelião! https://t.co/ZnvOF7idM4",https://twitter.com/verapstu/statuses/1048333462925725696,67,199,"Twitter for iPhone"
verapstu,"ID 1048244389007577088","Fri Oct 05 16:11:52 +0000 2018","Nós, da classe trabalhadora, precisamos nos organizar para lutar, impedir que qualquer candidato que ganhe essa eleição venha tirar nossa aposentadoria #DebateNaGlobo https://t.co/uAnJeZvko7",https://twitter.com/verapstu/statuses/1048244389007577088,11,82,"Twitter for iPhone"
verapstu,"ID 1047095253998678016","Tue Oct 02 12:05:37 +0000 2018","Um mês do incêndio do Museu Nacional. Uma perda irreparável para a ciência, a cultura mundial e a historia brasileira. O corte no orçamento, imposto pelo governo atual e pelos governos passados, é a causa de tudo isso. Basta! Temos que virar esse jogo! 16 é rebelião! #Vera16 https://t.co/De092XBAn1",https://twitter.com/verapstu/statuses/1047095253998678016,3,28,"Twitter for iPhone"
